id;lat;long;type;site;code
amphId;lon;lat;amphTypeName;fplmunName;FAMILY
10;8.32491214567114035;49.6489169266645902;"Dressel 20";"Worms";PIVLICRISPI
100;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";KV
1001;3.11780899999999983;42.1395430000000033;"Dressel 20";"Ampurias";CANTONIQVIETI
1005;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
1006;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
1007;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10078;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";A
10079;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";ALFO
1008;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10080;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";ALFO
10080;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";POROCODV
10081;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";AIS
10082;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";AIS
10083;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";ALBMFMALCACIRC
10084;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";A
10085;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";ATITAE
10086;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";AVGN
10086;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";FPAT
10087;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";BELSI
10088;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";POROCODV
10089;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";POROCODV
1009;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10090;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";C
10091;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GA
10092;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GAL
10093;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CALLECGALLEC
10094;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CANTONIQVIETI
10095;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CANTONIQVIETI
10096;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CANTONIQVIETI
10097;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CANTONIQVIETI
10098;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CANTONIQVIETI
10099;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GAVFL
101;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";KV
1010;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10100;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CCLOCACCLOC
10101;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CCLOCACCLOC
10102;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CCLO
10103;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CCRASSISEMNI
10104;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CELSI
10105;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CELSI
10106;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GEMELLI
10107;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CENNIHISPANI
10108;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CFAV
10109;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CFAV
1011;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10110;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CFO
10111;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GFS
10112;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CIP
10113;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CMARISILVANI
10114;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";GRA
10115;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10116;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10117;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10118;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10119;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
1012;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10120;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10121;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10122;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10123;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10124;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10125;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10126;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10127;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CSEMPRONIPOLYCLITI
10128;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CVVA
10129;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";CVVA
1013;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10130;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";ENNIORVMIVLIORVM
10131;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";FAVSTINI
10132;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";FSFAFL
10133;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";FSFA
10134;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";HOPL
10135;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LANNISEC
10136;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LAS
10137;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCFPC
10138;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCS
10139;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCSOL
1014;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10140;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCSOL
10141;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCSOL
10142;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCSOL
10143;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LCSOL
10144;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LFC
10145;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LFO
10146;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LFO
10147;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LFO
10148;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LIBERALINI
10149;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LIT
1015;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10150;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LIVNIMELISSI
10151;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LIVNIMELISSI
10152;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LIVNIMELISSI
10153;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LMA
10154;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LMAFRI
10155;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LMAFRI
10156;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LMVE
10157;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LMVE
10158;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LQS
10159;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LQS
1016;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10160;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LREVTICHI
10161;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10162;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10163;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10164;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10165;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10166;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10167;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10168;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10169;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
1017;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10170;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10171;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10172;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10173;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10174;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10175;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10176;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10177;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10178;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10179;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
1018;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10180;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10181;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10182;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10183;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10184;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10185;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10186;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10187;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10188;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10189;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
1019;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10190;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10191;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSAR
10192;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSL
10193;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSL
10194;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSERVFI
10195;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSLVPI
10196;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LSTERTTERTI
10197;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALSA
10198;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALERITROPHIMI
10199;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALERITROPHIMI
102;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";KV
1020;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10200;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALERITROPHIMI
10201;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALERITROPHIMI
10202;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVALERIVITALIS
10203;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";LVC
10204;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MAELIALEXANDRI
10205;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MAELIALEXANDRI
10206;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MAEME
10207;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MAEME
10208;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MAEF
10209;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MFFM
1021;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10210;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10211;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10212;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10213;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10214;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10215;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MIM
10216;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";MSFPC
10217;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PAS
10218;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PCALPVR
10219;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
1022;12.4607464157529453;41.8851022907896891;"Dressel 20";"Roma";LIDFIT
10220;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
10221;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
10222;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
10223;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
10224;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PHILO
10225;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PIC
10226;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PLOCAMI
10227;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PMS
10228;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PMANISVP
10229;4.94285100000000011;43.3835430000000031;"Dressel 20";"Golfe de Fos";PMANISVP
